"time","GEO_ID","NAME","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT","AMOUNT_CV",
"Year","Geographic identifier code","Geographic Area Name","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount","Coefficent of Variation for Amount (percent)",
"2022","0100000US","United States","SF0105","Revenue - Utility Revenue - Water Supply","002","State","369574","0.00",
"2022","0100000US","United States","SF0106","Revenue - Utility Revenue - Electric Power","002","State","9581394","0.00",
"2022","0100000US","United States","SF0107","Revenue - Utility Revenue - Gas Supply","002","State","15659","0.00",
"2022","0100000US","United States","SF0108","Revenue - Utility Revenue - Public Mass Transit Systems","002","State","2256783","0.00",
"2022","0100000US","United States","SF0109","Revenue - Total Liquor Stores Revenue","002","State","11405618","0.00",
"2022","0100000US","United States","SF0110","Exhibit - Revenue - Liquor Stores Revenue - Net Sales","002","State","11149950","0.00",
"2022","0100000US","United States","SF0111","Exhibit - Revenue - Liquor Stores Revenue - Other Income","002","State","23901","0.00",
"2022","0100000US","United States","SF0112","Exhibit - Revenue - Liquor Stores Revenue - Liquor Taxes","002","State","1100393","0.00",
"2022","0100000US","United States","SF0113","Insurance Trust Revenue - Total Insurance Trust Revenue","002","State","493398343","0.00",
"2022","0100000US","United States","SF0114","Insurance Trust Revenue - Total Unemployment","002","State","75345528","0.00",
"2022","0100000US","United States","SF0115","Insurance Trust Revenue - Unemployment Compensation Systems Contributions","002","State","44921386","0.00",
"2022","0100000US","United States","SF0116","Insurance Trust Revenue - Unemployment Compensation Systems Interest","002","State","563690","0.00",
"2022","0100000US","United States","SF0117","Insurance Trust Revenue - Unemployment Compensation Systems Federal Advances","002","State","29860452","0.00",
"2022","0100000US","United States","SF0118","Insurance Trust Revenue - Total Employee Retirement","002","State","392560690","0.00",
"2022","0100000US","United States","SF0135","Insurance Trust Revenue - Employee Retirement Systems Total Earnings","002","State","109727199","0.00",
"2022","0100000US","United States","SF0136","Insurance Trust Revenue - Employee Retirement Systems Employee Contrib","002","State","64160395","0.00",
"2022","0100000US","United States","SF0137","Insurance Trust Revenue - Employee Retirement Systems Govt Contrib","002","State","218673096","0.00",
"2022","0100000US","United States","SF0138","Insurance Trust Revenue - Total Workers' Compensation Systems","002","State","13969318","0.00",
"2022","0100000US","United States","SF0139","Exhibit - Insurance Trust Revenue - Workers' Compensation Systems Own Contributions","002","State","871472","0.00",
"2022","0100000US","United States","SF0140","Insurance Trust Revenue - Workers' Compensation Systems Contributions","002","State","10643745","0.00",
"2022","0100000US","United States","SF0141","Insurance Trust Revenue - Workers' Compensation Systems Earnings","002","State","3325573","0.00",
"2022","0100000US","United States","SF0142","Insurance Trust Revenue - Total Other State Social Insurance Trust Systems","002","State","11522807","0.00",
"2022","0100000US","United States","SF0143","Exhibit - Insurance Trust Revenue - Exhibit - Other Contributions from Administering Governement","002","State","46336","0.00",
"2022","0100000US","United States","SF0144","Insurance Trust Revenue - Other State Social Insurance Trust Systems Contributions","002","State","11497519","0.00",
